[1, 9, 8, 4, 5, 21, 16, 5, 3, 8];에브리 싱글 데이;Perfect Life (Feat. Mxxg)
[13, 4, 8, 14, 4, 27, 16, 14, 2, 10];연남갱스타;폭격기 (죽음의 백조) (Feat. 이용진)
[23, 11, 21, 6, 6, 34, 28, 9, 2, 17];Rheehab;IWY (Feat. Donutman, Dopein)
[2, 15, 5, 5, 7, 9, 20, 5, 3, 9];Rheehab;너의 이름이
[10, 9, 13, 3, 3, 26, 27, 6, 1, 52];담소네공방;말
[1, 4, 1, 0, 2, 12, 9, 9, 0, 6];김사월;달아
[10, 17, 7, 11, 16, 20, 24, 17, 4, 11];김사월;너무 많은 연애
[6, 12, 2, 6, 6, 14, 16, 4, 6, 11];김사월;짐
[0, 14, 0, 1, 8, 11, 15, 1, 0, 9];김사월;어떤 호텔
[0, 7, 4, 8, 0, 6, 5, 6, 0, 5];김사월;마이 러브
[2, 8, 4, 0, 3, 7, 11, 1, 0, 9];김사월;설원
[6, 3, 2, 6, 10, 26, 16, 12, 2, 4];김사월;전화
[2, 11, 2, 2, 3, 14, 21, 8, 0, 13];김사월;꿈꿀 수 있다면 어디라도
[3, 2, 3, 5, 1, 12, 6, 4, 2, 4];김사월;그녀의 품
[2, 0, 4, 3, 0, 13, 9, 6, 0, 5];김사월;악취
[6, 5, 6, 3, 3, 16, 8, 7, 0, 6];김사월;8월 밤의 고백
[22, 20, 27, 16, 8, 43, 40, 18, 7, 30];슬리피;플라시보 (Feat. Hash Swan, G2)
[5, 5, 16, 7, 1, 23, 4, 22, 5, 3];반하나;혼자 사는법
[5, 8, 1, 3, 3, 11, 13, 14, 5, 8];반하나;삼킨다 (Someday)
[11, 13, 8, 3, 9, 32, 29, 12, 6, 12];반하나;우리 (Feat. 임철 of 장덕철)
[9, 8, 6, 5, 1, 14, 14, 8, 4, 10];반하나;네 안부를 내게 묻는다
[5, 8, 5, 3, 4, 19, 22, 13, 1, 14];반하나;사랑한 기억만
[1, 9, 8, 4, 5, 21, 16, 5, 3, 8];에브리 싱글 데이;Perfect Life (Feat. Mxxg)
[6, 40, 8, 13, 9, 15, 21, 14, 36, 13];Slyme Young;갑자기
[4, 7, 9, 8, 4, 24, 13, 12, 1, 6];박민규;겨울이야
[5, 8, 4, 7, 3, 26, 25, 5, 2, 18];문명진;한잔할까
[4, 8, 5, 4, 5, 26, 22, 5, 3, 17];문명진;한잔할까 (Feat. 이민혁 of 비투비)
[5, 8, 4, 7, 3, 26, 25, 5, 2, 18];문명진;한잔할까 (MR)
[4, 8, 5, 4, 5, 26, 22, 5, 3, 17];문명진;한잔할까 (Feat. 이민혁 of 비투비) (MR)
[4, 9, 6, 9, 7, 15, 15, 2, 6, 6];한정훈;수잔
[3, 5, 2, 0, 3, 9, 7, 2, 0, 3];조애란;하루 일과
[2, 4, 4, 2, 0, 11, 8, 7, 0, 3];일상다반사;안부
[2, 0, 2, 1, 0, 4, 8, 2, 3, 3];봄날의 곰;가끔은 너도 나를 그리워했으면 좋겠어
[1, 4, 1, 4, 1, 13, 6, 6, 0, 4];김선욱;She was all I need
[3, 4, 2, 3, 2, 7, 5, 3, 1, 1];김므즈 (익명의 시인들);나의 첫사랑
[8, 10, 3, 13, 11, 21, 20, 13, 4, 7];천서혜밴드;첫사랑
[7, 14, 6, 1, 8, 12, 17, 2, 5, 2];민수;동그라미
[9, 8, 10, 0, 5, 13, 12, 4, 1, 11];다섯번째 계절;날개
[4, 6, 15, 8, 4, 34, 12, 12, 2, 9];재주소년;다시 소년
[2, 9, 1, 2, 0, 17, 9, 4, 1, 7];곽은기 (은휼);집으로 가자 (Feat. 엄마)
[14, 8, 12, 6, 8, 32, 31, 13, 4, 16];더필름;결국 너야
[5, 2, 5, 1, 1, 14, 13, 7, 1, 7];넬 (NELL),그루비룸 (GroovyRoom),;오늘은
[3, 16, 3, 3, 22, 17, 33, 5, 4, 15];DK,지아,;별이될게
[3, 16, 3, 3, 22, 17, 33, 5, 4, 15];DK,강민정,;별이될게
[5, 10, 4, 7, 9, 18, 13, 1, 6, 5];Red Velvet (레드벨벳);피카부 (Peek-A-Boo)
[3, 15, 13, 5, 18, 23, 23, 7, 12, 11];Red Velvet (레드벨벳);봐 (Look)
[12, 9, 7, 8, 6, 25, 12, 7, 4, 10];Red Velvet (레드벨벳);Kingdom Come
[1, 9, 3, 4, 5, 13, 21, 9, 10, 16];Red Velvet (레드벨벳);두 번째 데이트 (My Second Date)
[6, 16, 7, 3, 19, 17, 37, 6, 6, 22];Red Velvet (레드벨벳);Attaboy
[5, 10, 9, 5, 10, 22, 21, 2, 8, 16];Red Velvet (레드벨벳);Perfect 10
[5, 22, 9, 18, 18, 29, 49, 10, 11, 23];Red Velvet (레드벨벳);About Love
[10, 10, 8, 9, 10, 28, 21, 7, 10, 21];Red Velvet (레드벨벳);달빛 소리 (Moonlight Melody)
[17, 16, 21, 13, 12, 50, 40, 14, 8, 28];Viann,Khundi Panda,;Ms.808 (Feat. SUMIN)
[7, 3, 9, 8, 4, 21, 15, 13, 0, 1];이승환;내게만 일어나는 일
[5, 6, 13, 6, 3, 25, 6, 18, 4, 1];윤희정;서울의 달
[6, 6, 0, 0, 5, 19, 17, 4, 0, 11];임선혜;이별
[5, 14, 5, 5, 19, 18, 21, 15, 1, 2];장문희;하늘이여
[6, 5, 6, 2, 12, 25, 32, 12, 4, 15];최백호;사랑 그 쓸쓸함에 대하여
[11, 6, 9, 8, 2, 19, 11, 9, 2, 6];Knave (네이브);Brown lip
[1, 5, 1, 0, 7, 7, 15, 3, 2, 6];송홍섭;날 두고 떠나가네 내가 / 길 (Feat. 박혜지)
[2, 2, 2, 1, 2, 14, 4, 4, 0, 3];송홍섭;Goodbye with Band (Feat. 박혜지)
[2, 2, 2, 1, 2, 14, 4, 4, 0, 3];송홍섭;Goodbye with Piano (Feat. 박혜지)
[0, 0, 1, 0, 14, 1, 41, 0, 0, 12];송홍섭;사랑해요 (Feat. 김은중, 장수진, 박서연)
[3, 12, 7, 3, 6, 7, 9, 2, 2, 1];송홍섭;바람처럼, 구름처럼, 강물처럼 (Feat. 박혜지)
[3, 16, 8, 3, 7, 8, 12, 3, 2, 1];송홍섭;바람처럼, 구름처럼, 강물처럼 (Feat. 이승열)
[0, 3, 5, 0, 3, 8, 9, 0, 0, 4];송홍섭;얘기할 수 없어요 (Feat. 박혜지)
[2, 2, 2, 1, 2, 14, 4, 4, 0, 3];송홍섭;Goodbye (Feat. 김원지)
[0, 3, 5, 0, 3, 8, 9, 0, 0, 4];송홍섭;얘기할 수 없어요 (Feat. 김원지)
[13, 8, 16, 6, 3, 23, 24, 5, 0, 19];Dok2;Good Vibration
[4, 26, 15, 13, 8, 29, 24, 13, 4, 14];Dok2;엄지손가락 2 (Feat. 김효은)
[17, 12, 15, 2, 11, 57, 28, 8, 7, 22];Dok2;Crazy
[15, 20, 16, 7, 11, 21, 31, 9, 6, 30];Dok2;I Don`t Know (Feat. Hash Swan)
[4, 5, 7, 0, 2, 11, 7, 1, 1, 3];Dok2;Vibe (Outro)
[18, 18, 16, 7, 13, 59, 33, 9, 8, 24];Dok2;Crazy (Remix) (Feat. CHANGMO)
[1, 7, 5, 4, 6, 16, 17, 7, 0, 11];태사비애;제발 우리 사랑하면 안되나요
[0, 8, 0, 2, 17, 6, 44, 2, 1, 14];한소아;널 헤는 밤
[5, 5, 3, 6, 1, 21, 6, 9, 0, 3];한소아;하나하나
[6, 11, 17, 2, 5, 30, 16, 15, 4, 10];한소아;이사 전날
[7, 6, 10, 4, 2, 19, 8, 7, 1, 6];한소아;마른꽃
[4, 12, 0, 3, 6, 13, 19, 9, 2, 8];한소아;내가 이럴려고
[27, 20, 23, 14, 6, 63, 59, 14, 6, 69];던말릭 (Don Malik);Touche
[2, 3, 6, 2, 1, 21, 6, 2, 0, 2];유설;Ocean View
[5, 9, 0, 1, 7, 11, 12, 4, 2, 14];악어들;여우소주
[9, 3, 9, 14, 12, 40, 13, 14, 10, 12];악어들;물고기였으면
[5, 8, 0, 8, 0, 9, 0, 8, 0, 0];악어들;극장전
[4, 4, 4, 2, 0, 8, 12, 4, 2, 0];악어들;아거기 아거가
[0, 4, 8, 8, 0, 26, 4, 4, 0, 4];악어들;벌레
[7, 2, 2, 11, 0, 35, 12, 15, 1, 12];악어들;밀실
[0, 0, 0, 0, 0, 6, 0, 2, 0, 0];악어들;아무도 없는 밤에
[0, 6, 10, 0, 28, 16, 33, 11, 6, 16];악어들;보초를 서다가 사랑에 빠졌네
[1, 3, 2, 0, 0, 8, 0, 2, 0, 0];악어들;아직도 난 널
[7, 7, 7, 2, 0, 30, 6, 24, 0, 4];악어들;나는 오늘 밤에 울거야
[6, 1, 6, 5, 1, 18, 19, 2, 2, 17];악어들;아침
[1, 13, 8, 0, 5, 20, 19, 3, 6, 9];한송은;한 걸음 더
[4, 3, 5, 2, 4, 15, 14, 10, 1, 5];정미조;첫사랑
[10, 12, 14, 8, 8, 29, 17, 4, 6, 8];정미조;미루나무 아래서
[0, 8, 2, 0, 3, 12, 15, 7, 1, 7];정미조;문득 이별
[1, 9, 2, 4, 6, 10, 10, 9, 2, 3];정미조;젊은 날의 영혼
[3, 13, 10, 0, 5, 11, 18, 3, 2, 12];정미조;한 걸음만 (Feat. 박주원, 엘 까미니또)
[6, 11, 8, 4, 5, 19, 7, 5, 1, 5];정미조;동피랑
[2, 13, 5, 2, 7, 10, 9, 1, 1, 3];정미조;바람의 이야기 (Feat. 오연준)
[9, 5, 7, 7, 4, 17, 15, 11, 3, 15];정미조;동백 (Feat. 송영주)
[3, 8, 4, 2, 9, 12, 13, 2, 3, 7];정미조;난 가야지
[0, 6, 0, 2, 12, 5, 23, 3, 1, 4];정미조;Adios, Mi Havana (Feat. 로스 아미고스)
[9, 9, 15, 2, 10, 25, 22, 2, 1, 7];정미조;비 오는 오후
[4, 12, 6, 4, 0, 15, 8, 5, 2, 9];정미조;오해였어
[3, 5, 4, 3, 7, 3, 8, 0, 3, 1];정미조;들꽃
[3, 6, 3, 2, 2, 12, 8, 4, 0, 6];정미조;그리운 생각
[3, 9, 3, 7, 1, 24, 18, 13, 0, 16];소유,성시경,;뻔한 이별
[0, 18, 1, 2, 19, 8, 35, 3, 11, 16];사무엘;캔디 (Candy)
[3, 5, 6, 1, 2, 15, 19, 8, 0, 10];사무엘;Never Let U Down
[1, 6, 7, 2, 1, 17, 17, 9, 1, 3];사무엘;LOVE LOVE LOVE
[7, 13, 16, 2, 8, 24, 42, 9, 2, 16];사무엘;끌려 (Crush on you)
[6, 6, 7, 6, 6, 16, 47, 3, 2, 28];사무엘;찬란하게
[2, 18, 10, 8, 7, 21, 23, 3, 3, 13];사무엘;보석함 (Jewel Box)
[18, 8, 16, 17, 4, 39, 27, 19, 6, 17];사무엘;가면놀이 (Feat. Maboos)
[7, 20, 5, 7, 12, 11, 29, 2, 7, 18];사무엘;Dream
[6, 15, 10, 7, 11, 23, 33, 7, 5, 22];사무엘;식스틴 (Feat. 창모) (REMIX)
[8, 19, 9, 10, 21, 27, 45, 5, 18, 35];스누퍼 (SNUPER);Dear
[9, 13, 5, 3, 7, 22, 22, 6, 7, 16];죠지;Boat
[14, 7, 17, 11, 2, 31, 18, 8, 4, 8];스컬,쿤타,;REGGAE ARMY (Feat. Rueed)
[4, 4, 2, 3, 4, 10, 10, 2, 1, 6];알리 (ALi);102가지
[1, 5, 3, 4, 4, 14, 17, 9, 3, 17];알리 (ALi);말이 되니
[9, 12, 14, 9, 8, 23, 14, 5, 3, 6];알리 (ALi);섬
[3, 12, 4, 5, 6, 14, 16, 2, 4, 13];알리 (ALi);Black and White
[7, 4, 6, 1, 4, 25, 18, 7, 0, 6];조커;Fantasy (Feat. SUMIN)
[9, 13, 3, 11, 13, 29, 31, 9, 7, 17];우재;그만 보자
[15, 6, 19, 1, 0, 27, 18, 18, 0, 15];Hoody (후디);하나만 해 (Can`t Wait)
[5, 13, 7, 11, 13, 16, 42, 7, 6, 14];박지헌;너에게 물들어가
[6, 11, 9, 3, 4, 20, 25, 13, 4, 17];시온 (xion);IN MY RIDE (Feat. Dok2)
[10, 8, 8, 8, 2, 30, 13, 3, 5, 8];버닝 햅번 (Burning Hepburn);Vertigo
[5, 13, 2, 0, 0, 20, 12, 2, 0, 3];버닝 햅번 (Burning Hepburn);4619
[7, 7, 16, 2, 3, 36, 17, 12, 1, 17];11호;B1 (Feat. 성주 of UNIQ)
